,犬,猫,ペンギン,イルカ,パンダ
user_1,,5.0,,5.0,
user_2,,,5.0,,2.0
user_3,,5.0,5.0,,5.0
user_4,4.0,,,4.0,5.0
user_5,5.0,4.0,,,5.0
user_6,,5.0,,4.0,1.0
user_7,,2.0,3.0,5.0,5.0
user_8,5.0,,5.0,,
user_9,,4.0,5.0,1.0,
user_10,,,5.0,5.0,4.0
user_11,5.0,,5.0,,2.0
user_12,,2.0,,5.0,3.0
user_13,4.0,5.0,3.0,,
user_14,4.0,,,3.0,5.0
user_15,5.0,,5.0,,5.0
user_16,5.0,4.0,,,4.0
user_17,4.0,,5.0,4.0,
user_18,,5.0,,5.0,
user_19,,,,5.0,3.0
user_20,4.0,,5.0,4.0,
user_21,4.0,5.0,5.0,,
user_22,5.0,,5.0,3.0,
user_23,2.0,,5.0,3.0,
user_24,5.0,5.0,,,2.0
user_25,,1.0,1.0,5.0,
user_26,,,5.0,5.0,3.0
user_27,5.0,3.0,,,
user_28,2.0,,,,5.0
user_29,,2.0,4.0,,4.0
user_30,,4.0,,,2.0
user_31,5.0,4.0,,,5.0
user_32,5.0,3.0,5.0,,
user_33,,2.0,3.0,,
user_34,,5.0,,5.0,5.0
user_35,,,5.0,,5.0
user_36,5.0,3.0,,,1.0
user_37,3.0,,,,5.0
user_38,5.0,,5.0,,5.0
user_39,5.0,,4.0,,
user_40,3.0,1.0,,,5.0
user_41,5.0,,4.0,1.0,5.0
user_42,5.0,1.0,,5.0,
user_43,,5.0,,1.0,4.0
user_44,,5.0,,5.0,3.0
user_45,,5.0,5.0,,2.0
user_46,4.0,,4.0,,4.0
user_47,5.0,,5.0,5.0,
user_48,5.0,,5.0,,
user_49,,2.0,3.0,,
user_50,5.0,5.0,3.0,,
user_51,,5.0,,,1.0
user_52,,4.0,4.0,4.0,2.0
user_53,4.0,4.0,,,2.0
user_54,4.0,,5.0,5.0,5.0
user_55,,5.0,5.0,5.0,
user_56,5.0,,4.0,,1.0
user_57,4.0,,5.0,,2.0
user_58,,,5.0,5.0,
user_59,5.0,,,,4.0
user_60,,4.0,5.0,5.0,
user_61,4.0,5.0,2.0,,
user_62,,,5.0,4.0,2.0
user_63,,3.0,4.0,,5.0
user_64,,5.0,,5.0,
user_65,5.0,,4.0,,1.0
user_66,,5.0,4.0,,5.0
user_67,4.0,,3.0,5.0,
user_68,,,4.0,5.0,5.0
user_69,,2.0,,5.0,5.0
user_70,,,5.0,5.0,
user_71,4.0,4.0,,,2.0
user_72,4.0,3.0,4.0,,5.0
user_73,2.0,,2.0,4.0,
user_74,,4.0,5.0,4.0,5.0
user_75,,2.0,5.0,,
user_76,5.0,5.0,4.0,,
user_77,4.0,1.0,,2.0,
user_78,5.0,5.0,5.0,,
user_79,4.0,3.0,,,
user_80,,5.0,,3.0,5.0
user_81,,,4.0,,5.0
user_82,,5.0,5.0,4.0,
user_83,,3.0,,,3.0
user_84,3.0,3.0,,,1.0
user_85,,5.0,,3.0,5.0
user_86,4.0,,,4.0,
user_87,,3.0,,3.0,4.0
user_88,5.0,3.0,,5.0,
user_89,,5.0,4.0,,5.0
user_90,,,4.0,,2.0
user_91,5.0,2.0,,,
user_92,,5.0,,4.0,
user_93,3.0,5.0,5.0,,
user_94,,5.0,5.0,,5.0
user_95,4.0,4.0,,,
user_96,,5.0,5.0,,1.0
user_97,,5.0,,5.0,5.0
user_98,,,3.0,3.0,
user_99,5.0,,5.0,,
user_100,,3.0,,,1.0
user_101,3.0,,4.0,,
user_102,,2.0,4.0,,2.0
