review_id,property_id,review_date,score
1,8914,2001-01-24,2
2,9868,2007-09-05,4
3,6987,2018-08-11,2
4,3302,1976-04-16,3
5,6693,2020-10-21,1
6,9605,2010-12-30,3
7,2727,2012-04-11,3
8,2632,2019-12-14,5
9,3520,2008-01-04,3
10,6524,2020-10-15,3
11,3803,2018-07-29,2
12,3809,1991-01-15,3
13,1805,1998-09-08,4
14,6177,2012-05-21,2
15,3266,1997-01-11,4
16,1744,2010-08-20,1
17,5727,2020-10-29,3
18,6258,2014-09-27,5
19,7445,2018-05-19,2
20,2533,2017-09-14,3
21,4674,1988-10-14,5
22,5678,2019-07-29,1
23,3751,2001-11-29,2
24,1383,2017-10-11,5
25,4822,2006-08-25,4
26,8875,2017-04-25,2
27,7313,2012-09-30,3
28,7475,2004-04-06,3
29,4731,1977-04-15,3
30,6036,2005-03-09,2
31,1385,1987-03-09,3
32,4637,2008-08-17,3
33,8168,1971-05-17,3
34,8189,1989-03-16,5
35,1273,1996-09-13,3
36,9314,2015-05-26,5
37,1317,2020-09-24,3
38,5949,1994-03-13,1
39,9044,2000-09-01,4
40,5284,2018-08-22,3
41,9153,2008-09-26,3
42,6921,2013-06-26,3
43,5227,2002-10-01,3
44,4635,2009-09-03,2
45,9094,2000-09-24,2
46,9325,2017-11-23,4
47,883,2017-10-06,5
48,616,2011-01-06,2
49,549,2004-10-01,2
50,8521,2020-09-05,5
51,3397,1996-10-08,5
52,7950,2018-11-27,3
53,8529,2006-10-04,5
54,4248,2008-11-14,4
55,7968,2013-04-23,5
56,1327,2017-09-27,5
57,8823,2003-11-07,1
58,8233,1992-09-24,3
59,3726,2003-03-10,2
60,5936,2013-04-26,5
61,3817,2014-02-07,2
62,5500,2020-03-26,3
63,1714,2019-10-11,3
64,7871,2020-07-15,3
65,2329,2013-03-08,5
66,2903,2021-08-03,3
67,6497,2015-05-21,3
68,6379,2010-03-26,3
69,173,2008-05-18,3
70,6393,2019-02-26,2
71,5387,2016-11-08,2
72,6783,2013-04-27,3
73,7173,2004-07-14,2
74,3227,2018-05-19,3
75,5777,2002-01-24,2
76,3239,2007-02-20,3
77,320,1991-09-09,2
78,6209,2019-02-26,3
79,698,2019-12-06,1
80,8887,2000-01-16,2
81,2083,2010-06-01,4
82,3425,1998-02-07,4
83,2278,2001-05-02,4
84,4476,1991-02-11,3
85,1419,1997-03-29,3
86,1185,2020-06-26,5
87,1161,2014-08-24,3
88,5668,2009-03-16,4
89,4694,2018-10-17,5
90,9189,2017-02-19,3
91,2084,2002-03-09,4
92,6097,2000-03-15,3
93,565,2011-03-20,2
94,3413,2006-08-01,3
95,6019,1992-04-09,2
96,8071,2020-01-19,4
97,8549,2015-09-06,1
98,9604,1979-01-17,2
99,3918,2000-05-19,3
100,2611,2011-11-30,3
101,7421,2007-08-27,5
102,8014,2021-04-24,3
103,3658,2019-09-04,1
104,7704,2018-08-18,3
105,2325,2019-02-25,2
106,5861,2017-08-16,4
107,5777,2000-05-24,1
108,3051,2009-11-13,3
109,8689,2018-12-05,3
110,6177,2019-08-18,4
111,8542,1995-06-19,4
112,5046,2000-09-22,4
113,6607,2010-09-07,3
114,4532,2015-05-27,3
115,7082,1985-09-07,3
116,9680,2004-01-22,3
117,8726,2012-11-15,4
118,8202,2020-10-16,4
119,9523,2020-01-02,3
120,691,1996-01-07,5
121,4545,2014-01-24,3
122,1474,2015-06-12,1
123,2293,1996-05-07,2
124,6704,2008-09-29,2
125,9996,2014-04-30,4
126,5404,2014-11-14,2
127,6749,2018-05-31,3
128,4853,1992-07-25,2
129,7151,2012-01-19,2
130,172,2004-09-20,3
131,5121,2021-06-13,4
132,5241,2003-11-15,3
133,7947,2004-03-07,2
134,4812,2014-11-11,3
135,921,1999-01-04,2
136,8286,2013-11-10,3
137,6850,2019-05-17,3
138,4627,2019-02-02,2
139,5309,2006-01-09,1
140,5044,2016-06-13,3
141,1120,2009-06-15,3
142,5062,1990-07-08,4
143,7697,2002-11-05,3
144,862,1997-11-24,3
145,117,1979-07-24,1
146,3048,2018-11-18,5
147,9297,2021-06-25,2
148,8319,2010-09-16,4
149,3935,2016-09-25,3
150,2394,2019-08-16,4
151,4690,2020-10-24,4
152,588,2017-10-21,2
153,8424,2000-06-29,3
154,8158,2007-09-12,5
155,9003,2012-12-09,3
156,3711,2017-08-12,1
157,4008,2021-06-05,3
158,7174,2009-05-26,4
159,388,2015-12-29,3
160,8176,2018-04-09,3
161,3169,1997-10-12,1
162,9498,2015-10-26,2
163,4769,2019-06-10,2
164,3304,2007-09-27,2
165,4321,1994-03-10,4
166,5780,2020-11-19,4
167,3429,2021-05-16,1
168,5432,2021-06-03,2
169,29,2020-05-29,5
170,7296,1992-08-22,3
171,4125,2021-02-11,1
172,8069,2002-09-09,2
173,2465,2018-04-09,4
174,989,2018-06-16,5
175,8072,2014-05-06,4
176,8793,2005-08-09,4
177,937,2011-12-14,3
178,2249,2020-04-23,5
179,4958,2007-11-07,3
180,3750,2016-09-06,4
181,3780,2013-12-27,4
182,1260,2005-12-02,3
183,4655,1998-08-15,3
184,5914,1996-08-16,3
185,430,2021-05-22,3
186,7422,2008-10-29,3
187,6370,2020-07-14,3
188,2265,2005-05-05,3
189,1308,2016-06-25,4
190,8860,2011-09-20,4
191,8581,2019-11-29,3
192,2702,2018-11-15,3
193,9810,2021-01-03,1
194,7484,1993-07-03,2
195,429,2004-08-02,3
196,6213,2004-08-01,3
197,7384,2006-08-10,3
198,6422,2014-08-21,3
199,4419,2017-01-23,4
200,6209,2018-09-29,1
201,8263,2004-08-09,3
202,4906,1995-06-23,3
203,3017,2018-04-09,3
204,422,2021-02-15,3
205,3356,2010-06-30,5
206,9299,2009-04-23,5
207,2761,1997-09-15,4
208,60,2019-01-02,2
209,2764,2021-04-11,4
210,5537,2020-06-02,1
211,7168,1985-04-01,3
212,2882,1983-10-15,3
213,8065,1999-03-22,4
214,475,1996-04-03,3
215,2330,2009-05-03,3
