property_id,station_id,distance,house_area,rent_price,total_floor,floor,built_date,house_structure
1,72,520,14,101000,13,11,2005-03-01,RC
2,44,1080,55,146000,7,3,1987-03-01,RC
3,72,800,28,96000,6,5,2012-12-01,RC
4,91,1400,24,86000,4,3,1991-05-01,RC
5,35,440,27,94000,14,5,2015-01-01,RC
6,50,600,15,51000,3,3,1985-12-01,RC
7,96,1000,20,92000,3,1,2009-03-01,鉄骨
8,91,1240,35,84000,6,6,2006-04-01,RC
9,100,1240,32,87000,5,2,2002-06-01,RC
10,48,1640,36,103000,14,2,2004-05-01,RC
11,17,800,24,137000,12,2,2005-03-01,RC
12,22,1000,18,104000,3,2,1991-02-01,RC
13,38,640,35,200000,10,5,2004-04-01,RC
14,36,360,21,96000,15,3,2004-05-01,RC
15,72,760,27,53000,5,3,1984-02-01,鉄骨
16,29,1040,75,255000,14,8,2000-01-01,RC
17,12,280,18,81000,13,11,2002-03-01,RC
18,72,760,27,84000,3,3,1990-12-01,鉄骨
19,30,1120,21,58000,3,1,1990-01-01,RC
20,2,720,23,203000,5,5,2017-01-01,RC
21,60,360,19,81000,4,3,1964-04-01,RC
22,23,600,22,87000,10,10,1998-12-01,RC
23,36,840,14,92000,15,15,2005-04-01,RC
24,28,240,24,86000,3,2,2005-03-01,鉄骨
25,44,480,25,63000,5,3,1994-08-01,RC
26,98,360,19,96000,9,7,2008-12-01,RC
27,60,1200,40,202000,4,3,1999-01-01,RC
28,10,440,70,105600,4,3,2002-06-01,RC
29,22,360,22,75000,11,3,1994-11-01,RC
30,22,240,18,83500,7,5,2009-02-01,RC
31,100,400,18,95000,3,2,1981-08-01,RC
32,74,640,86,101000,6,3,1993-11-01,RC
33,22,680,18,73000,3,1,1990-04-01,鉄骨
34,16,1670,44,132000,3,3,2000-09-01,RC
35,13,440,82,193000,9,2,2003-09-01,RC
36,44,1640,32,85000,4,4,2002-04-01,RC
37,38,1320,21,89000,5,4,2001-09-01,RC
38,59,680,51,113000,5,4,1989-08-01,RC
39,48,520,43,116000,7,7,2004-06-01,RC
40,59,920,25,84000,3,3,2004-04-01,RC
41,14,400,62,269000,42,11,2015-04-01,RC
42,65,160,25,92000,7,3,2002-10-01,RC
43,19,680,42,124000,6,2,1972-04-01,RC
44,17,640,23,124000,19,10,2007-11-01,RC
45,60,840,70,143000,4,2,1993-05-01,RC
46,16,1080,69,139000,3,1,1988-06-01,RC
47,44,640,40,127000,7,6,2004-10-01,RC
48,74,800,17,75000,4,3,2009-11-01,RC
49,46,480,21,101000,14,14,2006-05-01,RC
50,20,800,25,127000,2,2,2012-09-01,鉄骨
51,95,360,38,72000,3,3,1986-12-01,鉄骨
52,59,640,27,73000,5,2,2005-02-01,鉄骨
53,2,1520,22,67000,3,3,1999-05-01,鉄骨
54,2,720,32,78000,10,6,1991-09-01,RC
55,96,480,12,54000,3,1,2003-03-01,鉄骨
56,23,400,19,83000,7,4,1980-05-01,RC
57,85,560,35,104000,11,9,2018-07-01,RC
58,2,1200,14,65000,12,9,1989-01-01,RC
59,21,800,33,79000,3,3,2003-09-01,RC
60,69,1680,44,68000,3,1,1989-04-01,RC
61,13,760,32,113300,10,9,2006-11-01,RC
62,37,720,20,106000,7,3,2004-10-01,RC
63,98,160,19,96000,9,5,2004-02-01,RC
64,52,1320,35,79000,5,2,1986-01-01,RC
65,54,240,34,154000,13,4,2005-09-01,RC
66,5,560,83,323000,43,16,2003-01-01,RC
67,60,560,48,119000,6,3,2019-04-01,RC
68,96,640,60,176000,3,2,2014-05-01,鉄骨
69,2,640,34,125000,14,6,2013-07-01,RC
70,72,1200,46,147000,4,2,2006-12-01,RC
71,59,480,34,74000,4,3,1971-05-01,RC
72,50,600,17,70000,3,1,2002-12-01,鉄骨
73,44,800,25,89000,3,3,2007-05-01,RC
74,5,480,50,244000,43,7,2003-03-01,RC
75,85,320,72,167000,11,6,2004-10-01,RC
76,18,760,54,245000,19,18,2007-12-01,RC
77,35,880,25,80000,5,1,2012-01-01,RC
78,7,680,50,181000,7,2,2012-09-01,RC
79,36,400,28,85500,14,2,2004-03-01,RC
80,50,1560,37,127000,10,10,2003-01-01,RC
81,17,80,14,109000,14,10,2006-06-01,RC
82,65,400,19,143000,5,2,2006-12-01,RC
83,9,520,89,551000,11,10,2004-06-01,鉄骨
84,30,320,41,150000,4,2,1999-11-01,RC
85,35,720,42,144000,15,3,2012-12-01,RC
86,2,360,18,97000,5,2,2007-05-01,RC
87,1,560,13,99000,8,2,1983-07-01,RC
88,52,240,52,70000,4,4,1989-04-01,鉄骨
89,62,1160,31,109000,3,1,2017-07-01,鉄骨
90,37,640,36,191000,13,8,2006-03-01,RC
91,72,320,27,135000,8,4,2009-11-01,RC
92,52,1480,20,64000,3,1,1984-05-01,鉄骨
93,6,1120,177,1404000,4,3,2008-03-01,RC
94,60,1560,17,75000,14,1,2006-07-01,RC
95,44,680,23,70000,3,2,1998-02-01,RC
96,16,1080,97,128000,11,6,1993-03-01,RC
97,18,880,22,63000,11,5,1980-12-01,RC
98,48,360,23,214000,13,4,2015-03-01,RC
99,20,680,10,66300,5,2,1983-04-01,RC
100,23,1000,26,90800,13,6,2003-07-01,RC
101,35,1000,36,118000,6,4,1999-03-01,RC
102,38,320,18,117000,15,8,2017-12-01,RC
103,20,800,56,178000,6,1,2007-04-01,RC
104,2,720,22,125500,5,2,1987-09-01,RC
105,60,1120,16,76000,4,2,1998-09-01,RC
106,46,440,17,97000,8,2,2015-01-01,RC
107,36,320,31,103000,11,7,2003-10-01,RC
108,21,200,38,94000,5,3,1980-09-01,RC
109,19,480,30,133000,5,1,2020-04-01,RC
110,2,680,13,66000,3,1,1982-02-01,RC
111,59,880,52,149000,5,4,2008-05-01,RC
112,74,800,88,98000,3,2,1987-03-01,RC
113,29,600,40,266000,4,2,2008-04-01,RC
114,44,480,62,155000,12,4,2009-08-01,RC
115,95,1720,42,39000,3,3,1979-05-01,RC
116,5,1200,106,435000,12,10,2005-06-01,RC
117,16,720,15,54000,10,3,1990-02-01,RC
118,60,320,17,67000,7,4,1992-05-01,RC
119,2,800,19,75000,4,4,1982-06-01,鉄骨
120,95,1400,49,117000,4,3,1994-08-01,RC
121,16,360,9,44000,4,4,1989-01-01,RC
122,46,960,32,83600,7,7,2006-08-01,RC
123,17,800,47,233000,9,6,2016-01-01,RC
124,18,720,18,57000,13,5,1980-03-01,RC
125,32,440,64,113000,3,1,2019-04-01,鉄骨
126,35,360,32,126000,6,2,1989-04-01,RC
127,13,760,24,103500,11,5,2013-11-01,RC
128,44,120,22,65000,5,3,2000-01-01,RC
129,9,920,39,135000,7,5,2004-02-01,RC
130,28,640,23,143000,4,2,2019-12-01,鉄骨
131,90,280,48,233000,14,6,2005-06-01,RC
132,19,880,30,147000,4,4,2020-01-01,RC
133,16,1000,14,42000,2,1,1985-06-01,鉄骨
134,52,1960,32,49000,5,4,1991-03-01,鉄骨
135,91,120,17,52000,5,2,1997-02-01,RC
136,96,400,22,91000,5,1,2003-05-01,RC
137,95,320,36,142900,41,8,2009-06-01,RC
138,83,440,19,80000,3,1,2006-01-01,RC
139,38,320,16,124000,15,4,2018-03-01,RC
140,96,800,30,115000,8,4,2004-03-01,RC
141,83,400,29,89000,5,4,2003-04-01,鉄骨
142,1,520,31,124000,3,1,2018-01-01,鉄骨
143,14,400,53,211000,11,9,1997-06-01,RC
144,21,680,22,89000,11,3,2011-11-01,RC
145,21,1240,38,79000,4,2,1970-10-01,鉄骨
146,74,320,40,90000,3,2,1992-05-01,RC
147,32,600,14,49000,5,3,1986-04-01,RC
148,30,720,26,123000,7,3,2007-01-01,RC
149,5,280,95,357000,14,9,1995-02-01,RC
150,48,1120,37,124000,8,6,2004-07-01,RC
151,12,1240,26,94000,6,5,1998-05-01,RC
152,12,800,71,186000,25,14,1987-12-01,RC
153,69,520,41,127000,5,2,1994-03-01,RC
154,10,720,18,89000,6,5,2006-11-01,RC
155,38,640,24,73000,5,3,1986-02-01,RC
156,32,760,73,95000,3,1,1993-09-01,鉄骨
157,37,1320,16,91000,12,8,1997-12-01,RC
158,10,720,49,88500,3,3,1983-08-01,鉄骨
159,21,960,24,123000,3,1,1989-02-01,RC
160,85,1440,31,94000,15,7,2006-11-01,RC
161,60,200,19,70500,8,2,1986-03-01,RC
162,48,1600,24,84600,6,5,2005-02-01,RC
163,2,1120,18,82000,7,3,2006-03-01,RC
164,9,760,13,93000,10,7,2000-03-01,RC
165,69,880,42,79000,8,8,1985-07-01,RC
166,72,400,39,159000,10,4,2014-11-01,RC
167,36,440,19,125000,14,6,2017-06-01,RC
168,72,600,48,95000,7,2,1992-07-01,RC
