station_id,station_name,passenger
1,新宿,781123
2,池袋,564044
3,東京,460767
4,横浜,421094
5,品川,379781
6,渋谷,369217
7,新橋,279236
8,大宮,256866
9,秋葉原,250183
10,北千住,220125
11,川崎,213910
12,高田馬場,210290
13,上野,186136
14,大崎,171702
15,有楽町,170231
16,立川,167418
17,浜松町,161385
18,田町,156706
19,中野,150194
20,恵比寿,146274
21,蒲田,145638
22,吉祥寺,142949
23,五反田,140215
24,西船橋,138714
25,船橋,138633
26,武蔵小杉,129861
27,柏,125706
28,日暮里,114326
29,目黒,113570
30,国分寺,112752
31,戸塚,112309
32,町田,112049
33,藤沢,109135
34,千葉,107252
35,錦糸町,105838
36,神田,105563
37,御茶ノ水,105069
38,大井町,104956
39,津田沼,103610
40,西日暮里,100517
41,松戸,100267
42,大船,99188
43,四ツ谷,98350
44,三鷹,98305
45,赤羽,97156
46,大森,96489
47,浦和,94554
48,飯田橋,92387
49,仙台,90494
50,荻窪,90340
51,武蔵溝ノ口,85955
52,八王子,84623
53,川口,84319
54,水道橋,82837
55,登戸,82444
56,鶴見,80918
57,舞浜,80343
58,新木場,78654
59,新小岩,76925
60,巣鴨,76898
61,南越谷,75471
62,原宿,74091
63,桜木町,70877
64,北朝霞,70785
65,代々木,70022
66,御徒町,69651
67,武蔵境,68771
68,海浜幕張,68020
69,小岩,66204
70,橋本,65778
71,新横浜,64743
72,王子,64480
73,市ケ谷,62699
74,武蔵小金井,62333
75,平塚,61531
76,蕨,61403
77,市川,61384
78,長津田,61132
79,南浦和,60120
80,本八幡,60051
81,東戸塚,58999
82,辻堂,58876
83,大塚,58379
84,西川口,58359
85,亀戸,58018
86,新浦安,56960
87,茅ケ崎,56148
88,関内,55492
89,さいたま新都心,55196
90,浅草橋,54521
91,国立,53905
92,武蔵浦和,53829
93,菊名,53611
94,北浦和,52892
95,金町,51631
96,高円寺,51599
97,稲毛,50406
98,新大久保,49698
99,駒込,49122
100,田端,47160
