rent_price,house_area,year_from_built,distance,built_date,balcony_area,house_structure,floor,total_floor
81000.0,22.627647342035946,21,360.0,2001-04-01,0.0,RC,4.0,10.0
119000.0,29.48742296784717,11,720.0,2011-03-01,0.0,RC,3.0,10.0
65000.0,13.960666508955775,32,640.0,1990-03-01,0.0,RC,3.0,6.0
230000.0,79.86020783212977,13,480.0,2009-03-01,0.0,RC,15.0,29.0
102000.0,34.47131271264703,23,320.0,1999-05-01,0.0,RC,2.0,7.0
83000.0,11.19583339267209,16,640.0,2006-01-01,0.0,RC,3.0,11.0
110000.0,31.274956804949866,2,680.0,2019-12-01,0.0,RC,6.0,15.0
67000.0,14.765821359609882,31,760.0,1991-09-01,0.0,RC,10.0,10.0
78000.0,16.643080665362923,20,480.0,2002-08-01,0.0,RC,2.0,8.0
97000.0,37.185596634079765,17,680.0,2005-03-01,0.0,鉄骨,3.0,11.0
86000.0,39.276652725948594,33,240.0,1989-03-01,0.0,RC,5.0,7.0
170000.0,70.362205025169,33,680.0,1989-01-01,0.0,RC,9.0,12.0
149000.0,35.257949165591185,16,680.0,2006-01-01,0.0,RC,4.0,7.0
83000.0,19.74134860020476,24,480.0,1998-03-01,0.0,RC,1.0,8.0
70000.0,18.25038726203961,29,1200.0,1992-12-01,0.0,RC,7.0,14.0
74000.0,19.00963100565431,26,1000.0,1996-03-01,0.0,鉄骨,6.0,6.0
87000.0,27.232643285655865,11,800.0,2011-05-01,0.0,RC,3.0,8.0
89000.0,15.636952471555524,13,1000.0,2009-06-01,0.0,鉄骨,3.0,3.0
71000.0,33.29227600016376,35,1040.0,1987-06-01,0.0,RC,6.0,11.0
196000.0,58.667800189141474,14,480.0,2007-12-01,0.0,RC,2.0,15.0
102000.0,32.422843259052215,25,480.0,1997-11-01,0.0,RC,4.0,10.0
62000.0,18.485575792726255,43,240.0,1979-01-01,0.0,RC,6.0,8.0
111000.0,45.29849799603424,32,520.0,1990-09-01,0.0,RC,6.0,9.0
155000.0,50.91185900333825,16,680.0,2005-12-01,0.0,RC,5.0,7.0
92000.0,21.708667638643714,14,480.0,2008-01-01,0.0,RC,3.0,13.0
104000.0,28.299645898987425,10,880.0,2012-06-01,0.0,RC,2.0,7.0
113000.0,35.3662649443875,6,480.0,2016-05-01,0.0,RC,5.0,10.0
91000.0,19.977103398878974,14,120.0,2008-02-01,0.0,RC,4.0,15.0
105500.0,21.033828836043934,2,1000.0,2020-03-01,0.0,RC,5.0,5.0
77000.0,22.733667364333535,35,1320.0,1987-03-01,0.0,RC,5.0,5.0
117000.0,35.790388725171,44,240.0,1978-04-01,0.0,RC,6.0,7.0
298000.0,112.29248877551053,16,560.0,2006-04-01,0.0,RC,17.0,45.0
110000.0,26.102583600826517,15,520.0,2007-09-01,0.0,RC,12.0,14.0
62000.0,24.29080356248139,25,320.0,1997-10-01,0.0,鉄骨,4.0,5.0
66000.0,19.683626340908205,23,240.0,1999-10-01,0.0,鉄骨,4.0,6.0
153000.0,51.0797768045873,17,1280.0,2005-02-01,0.0,RC,5.0,6.0
130000.0,47.642409193312936,19,560.0,2003-07-01,0.0,RC,3.0,3.0
59000.0,11.777407926018858,51,720.0,1971-02-01,0.0,RC,4.0,5.0
110000.0,34.55768720442821,18,1200.0,2004-05-01,0.0,RC,1.0,9.0
66000.0,17.514467459142768,49,1280.0,1973-06-01,0.0,鉄骨,3.0,4.0
83000.0,26.75826398212648,21,400.0,2001-02-01,0.0,RC,5.0,10.0
97000.0,24.901502606761646,17,360.0,2005-04-01,0.0,RC,7.0,11.0
100000.0,38.559365037611045,16,3880.0,2005-12-01,0.0,RC,5.0,10.0
92000.0,31.652413403029556,18,280.0,2004-09-01,0.0,RC,12.0,12.0
66000.0,21.420465985968853,34,680.0,1988-04-01,0.0,鉄骨,3.0,4.0
72000.0,12.59808733189877,16,1600.0,2006-03-01,0.0,鉄骨,4.0,4.0
90000.0,25.616058068745048,15,640.0,2007-05-01,0.0,RC,8.0,11.0
137000.0,60.26676282000339,32,600.0,1990-08-01,0.0,RC,8.0,9.0
81000.0,30.28781124155748,24,320.0,1998-03-01,0.0,RC,6.0,8.0
89000.0,25.434436790793796,17,640.0,2005-03-01,0.0,RC,8.0,12.0
98150.0,36.46608861836941,8,360.0,2014-10-01,0.0,鉄骨,2.0,5.0
113000.0,28.421257223009746,6,400.0,2016-11-01,0.0,RC,3.0,9.0
101000.0,32.09078696155204,15,480.0,2007-01-01,0.0,RC,4.0,6.0
83000.0,30.351852589092978,49,440.0,1973-07-01,0.0,鉄骨,3.0,5.0
133000.0,22.281308426343344,3,360.0,2019-02-01,0.0,RC,11.0,14.0
143000.0,22.526572724172517,43,360.0,1979-01-01,0.0,RC,9.0,11.0
77000.0,20.145622755370646,44,280.0,1978-08-01,0.0,RC,12.0,14.0
107000.0,33.030561287468515,10,600.0,2012-07-01,0.0,RC,3.0,9.0
89000.0,42.24866967658405,35,1120.0,1987-07-01,0.0,RC,4.0,5.0
217000.0,69.87362594335518,15,680.0,2007-03-01,0.0,RC,5.0,11.0
82000.0,30.817732476680575,15,600.0,2007-07-01,0.0,RC,10.0,14.0
81000.0,27.038314102870398,21,240.0,2001-01-01,0.0,鉄骨,3.0,4.0
124000.0,19.815256828448597,18,760.0,2004-03-01,0.0,RC,8.0,9.0
132000.0,38.52227252561171,14,720.0,2008-04-01,0.0,RC,8.0,14.0
129000.0,54.174284247431984,25,1000.0,1997-08-01,0.0,RC,5.0,5.0
79000.0,25.60870814294974,21,760.0,2001-01-01,0.0,鉄骨,3.0,4.0
96000.0,24.343429937345885,14,200.0,2008-02-01,0.0,RC,7.0,15.0
66000.0,18.96746945262162,32,680.0,1990-02-01,0.0,RC,8.0,11.0
80500.0,37.69169262980831,31,520.0,1991-02-01,2.88,RC,5.0,9.0
78500.0,24.202458075504943,17,240.0,2005-02-01,0.0,RC,2.0,14.0
