price,square_meter,floor,year_from_built,distance_from_station,station_name
47000,16.18894528,3,41.0,1440,三鷹
106300,61.06063749,3,24.0,1200,亀戸
138000,39.54671172,3,36.0,720,荻窪
87000,29.21956085,3,31.0,600,荻窪
71500,29.28761724,3,16.0,880,新小岩
162000,33.44925295,12,6.0,160,浅草橋
60000,26.39535154,3,48.0,1360,小岩
71000,21.95779437,3,41.0,880,中野
165500,29.8733969,7,8.0,560,高田馬場
129000,20.85944889,8,12.0,320,水道橋
79000,23.27234816,3,37.0,1320,新小岩
85000,44.49377562,3,42.0,1016,三鷹
116000,36.85633349,7,20.0,160,大塚
90000,28.58198798,2,32.0,960,荻窪
79000,26.01433891,3,6.0,1480,武蔵境
95000,41.49357639,4,35.0,560,高円寺
107000,45.62755435,4,32.0,160,武蔵境
71000,34.87213973,3,41.0,320,国分寺
91000,20.42595475,3,13.0,1160,三鷹
45000,12.84979084,3,30.0,960,立川
87000,17.68675691,3,8.0,1040,池袋
99000,36.75706525,5,30.0,280,巣鴨
186000,39.64404738,5,6.0,440,渋谷
236000,75.01598245,14,16.0,240,浅草橋
162000,37.38611868,13,15.0,1280,東京
58000,24.77138848,3,30.0,1200,荻窪
88000,43.1796299,3,33.0,1640,武蔵境
103000,31.54608878,4,10.0,280,神田
120000,28.23177827,3,5.0,640,荻窪
91000,38.08475329,4,14.0,440,北千住
59000,24.78219162,4,34.0,560,立川
108000,47.8302112,3,23.0,600,駒込
45000,13.62232047,5,32.0,800,八王子
89000,24.72125585,3,22.0,2160,荻窪
53000,23.28949198,3,36.0,280,立川
87000,17.2786286,2,20.0,1040,品川
51000,29.49103919,3,41.0,360,武蔵境
128000,36.70767142,14,49.0,720,池袋
206000,69.10314873,14,11.0,560,新小岩
68000,23.72191094,4,33.0,600,町田
214000,32.90077613,5,13.0,1200,恵比寿
157000,77.28013905,3,0.0,2040,三鷹
84000,21.15316271,3,34.0,920,大井町
87000,25.55606844,3,19.0,1040,荻窪
102000,29.39729248,3,45.0,80,高円寺
82000,19.55857051,5,1.0,440,大森
147000,32.78343504,10,18.0,851,亀戸
139000,30.412337,4,7.0,800,中野
122000,74.73049261,5,32.0,1280,立川
212000,66.1086034,4,21.0,1240,中野
52000,40.35011428,2,34.0,280,八王子
128000,39.76926503,3,14.0,680,高円寺
76000,73.86402435,3,25.0,280,八王子
652000,177.2566042,3,29.0,600,五反田
45000,19.4370453,6,27.0,1720,八王子
91000,20.0883663,10,26.0,680,御茶ノ水
143000,52.00610963,3,22.0,240,吉祥寺
20000,19.92823835,2,40.0,2480,八王子
100000,38.09189105,2,32.0,1080,国分寺
152000,52.75892289,5,11.0,120,吉祥寺
110000,34.56986198,5,47.0,520,渋谷
173000,30.39252327,10,16.0,120,恵比寿
88000,20.26882608,3,37.0,240,荻窪
45000,19.25936031,4,30.0,520,新小岩
152000,66.71568899,10,17.0,1160,中野
97000,29.37758847,3,12.0,1000,池袋
172000,51.76766808,3,7.0,520,三鷹
67000,14.02480683,3,32.0,1120,大井町
115000,44.18527805,3,31.0,1280,高円寺
81000,45.08508855,3,30.0,720,西日暮里
65000,16.73064437,4,29.0,720,立川
40000,13.95160002,4,33.0,2120,小岩
113500,47.65057447,3,17.0,320,新小岩
136000,27.30256772,9,29.0,600,錦糸町
58000,21.66171136,3,30.0,1800,荻窪
113000,91.19387425,2,35.0,320,三鷹
89500,18.76335309,8,13.0,560,大井町
82000,28.77733528,3,32.0,1280,国立
59000,27.33623578,4,27.0,680,立川
95000,23.79329386,4,17.0,520,新小岩
89000,28.17253099,5,45.0,400,新大久保
107000,30.36802114,3,4.0,680,五反田
56000,24.0152325,2,35.0,1160,高円寺
259000,106.7608587,14,16.0,200,浅草橋
100000,31.57797203,6,18.0,600,飯田橋
178000,42.32780723,10,8.0,560,水道橋
81000,18.52878757,3,17.0,200,国分寺
66000,26.08004681,5,27.0,920,小岩
81000,36.69809261,2,34.0,1280,中野
96000,32.79333461,3,10.0,520,武蔵小金井
123000,49.00377071,6,5.0,1200,日暮里
105000,23.0252652,12,17.0,1160,御茶ノ水
79000,49.8303234,4,54.0,1600,小岩
